Vehicles with similar trajectories (Hausdorff distance < 100.0 m):
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5f9-80fc-79a0-90d4-bc8c822a6f07: Hausdorff distance = 66.4 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5f9-8ca8-7a13-b5c2-df800e29d282: Hausdorff distance = 99.6 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5f9-a216-7513-a8c7-304441f8433c: Hausdorff distance = 22.4 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5f9-a221-7363-9f4c-0ce5dbf0e70f: Hausdorff distance = 67.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5f9-ab71-7903-8c83-246ce6358a6f: Hausdorff distance = 54.7 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38: Hausdorff distance = 74.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6: Hausdorff distance = 17.0 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5f9-b741-7383-be09-a255153acaf3: Hausdorff distance = 26.3 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5f9-df6c-7a10-94cc-cb7a4ebfdb65: Hausdorff distance = 11.9 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-0db8-7e83-8d25-96e8f2de1a21: Hausdorff distance = 62.7 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-1bc4-74a0-aa02-50532caf00c9: Hausdorff distance = 88.7 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-29b1-7702-903d-96642f74b81e: Hausdorff distance = 72.4 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-37ae-7392-a089-f76e4bac6b55: Hausdorff distance = 14.2 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-3b22-7622-bf1e-af6b36e35473: Hausdorff distance = 42.1 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-50a1-7ab1-beb9-2e7ce6834bbf: Hausdorff distance = 54.9 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-5667-7182-8eee-929c23a7d4ec: Hausdorff distance = 4.7 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-a3bb-7fb0-89e0-3b32aeb5e904: Hausdorff distance = 84.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-ab9c-78c2-9ee4-2aa17b3d6394: Hausdorff distance = 75.1 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-c65b-7ff2-86a0-709d5bafe477: Hausdorff distance = 70.7 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-e830-7cb3-9dca-03ce328fc342: Hausdorff distance = 84.2 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-e830-7cb3-9dca-03d31c51b8be: Hausdorff distance = 88.3 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-f627-7a23-a7cf-e4b00f43d6df: Hausdorff distance = 75.0 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fa-f8bc-75b0-9680-ee63d2c4bbc8: Hausdorff distance = 91.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-01ea-7543-801d-2b808ad249ab: Hausdorff distance = 85.2 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-020f-7401-a4b6-c2d7148077fb: Hausdorff distance = 91.4 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-072e-7900-b968-f0f9793e3a08: Hausdorff distance = 83.4 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-08b7-7c41-95af-9146a1936af6: Hausdorff distance = 96.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-0df6-7112-87e1-004a8647d30f: Hausdorff distance = 38.6 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-141f-7c32-ba1f-05448ec27564: Hausdorff distance = 31.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-17b2-7f41-9d26-72ef6fcb3d3f: Hausdorff distance = 33.9 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-2cbf-7e42-a4d3-24e16e0bdcbf: Hausdorff distance = 84.3 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-6d0f-7211-b75e-6648525c667d: Hausdorff distance = 62.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-76bd-71a3-9825-087b40a99587: Hausdorff distance = 60.0 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-7dd5-7ed3-a325-de5fa3ecd3f0: Hausdorff distance = 60.1 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-80d9-7df0-be45-239f584719b6: Hausdorff distance = 59.7 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-80e8-7593-b54b-5f81ef2c5c3d: Hausdorff distance = 74.3 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-8505-7723-ade2-98dd335b1ec1: Hausdorff distance = 74.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-e390-7ed2-a9aa-067aead1d486: Hausdorff distance = 9.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fb-fd9b-7a60-8a85-4ba4f7dcff12: Hausdorff distance = 71.3 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-00c5-7b50-8b40-6f401c35634b: Hausdorff distance = 75.1 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-262d-7401-a63d-0b0d37e41abc: Hausdorff distance = 9.4 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-62f3-7712-8851-73635a228fe3: Hausdorff distance = 17.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-6bfb-70a0-bb48-4e57f9cfabe8: Hausdorff distance = 85.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-7598-79c3-b592-3a4b64cc8fc2: Hausdorff distance = 94.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-ab76-7f40-a095-6d66e3c67769: Hausdorff distance = 93.6 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-b9df-7c13-b505-ac9b31019ec4: Hausdorff distance = 70.7 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-c146-7961-aa30-c82bd3c236bf: Hausdorff distance = 69.4 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-db32-7772-8669-dedd0e996cba: Hausdorff distance = 60.3 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-dc54-7392-977a-76c1866ace13: Hausdorff distance = 92.9 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-deff-78e3-8c24-0a0c4f2896d9: Hausdorff distance = 74.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-e89b-7100-8c32-e387f1b2f331: Hausdorff distance = 75.1 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-f429-7f51-81ed-87539f0dd205: Hausdorff distance = 21.9 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-fbf6-7fb3-b088-219fc9373f24: Hausdorff distance = 22.5 m
